event_date,page_location,sessions
20201101,https://shop.googlemerchandisestore.com/,802
20201101,https://www.googlemerchandisestore.com/,568
20201101,https://shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Drinkware,266
20201101,https://shop.googlemerchandisestore.com/Google Redesign/Lifestyle/Drinkware,260
20201101,https://shop.googlemerchandisestore.com/signin.html,220
20201101,https://shop.googlemerchandisestore.com/basket.html,219
20201101,https://shop.googlemerchandisestore.com/store.html,193
20201101,https://shop.googlemerchandisestore.com/Google+Redesign/Shop+by+Brand/YouTube,183
20201101,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel,178
20201101,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Mens,174
20201101,https://shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Bags,173
20201101,https://shop.googlemerchandisestore.com/Google+Redesign/Clearance,150
20201101,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Hats,136
20201101,https://shop.googlemerchandisestore.com/Google+Redesign/Campus+Collection,125
20201101,https://shop.googlemerchandisestore.com/Google+Redesign/New,124
20201101,https://shop.googlemerchandisestore.com/asearch.html,114
20201101,https://shop.googlemerchandisestore.com/yourinfo.html,94
20201101,https://shop.googlemerchandisestore.com/Google+Redesign/eco+friendly,92
20201101,https://shop.googlemerchandisestore.com/Google+Redesign/Stationery,77
20201101,https://shop.googlemerchandisestore.com/Google+Redesign/Lifestyle,77
20201101,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Womens,71
20201101,https://shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Small+Goods,70
20201101,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Kids,70
20201101,https://shop.googlemerchandisestore.com/Google+Redesign/Shop+by+Brand/Google,69
20201101,https://shop.googlemerchandisestore.com/Google+Redesign/Stationery/Stickers,68
20201101,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Mens/Mens+T+Shirts,68
20201101,https://shop.googlemerchandisestore.com/store-policies/frequently-asked-questions/,68
20201101,https://shop.googlemerchandisestore.com/Google+Redesign/Shop+by+Brand/Android,57
20201101,https://shop.googlemerchandisestore.com/Google+Redesign/Stationery/Notebooks,55
